Latent,MSE
1,0.019362900406122208
3,0.003232907271012664
5,0.0034634999465197325
7,0.003053113119676709
9,0.019321748986840248
11,0.003393020248040557
13,0.002716576913371682
15,0.0028945025987923145
16,0.0023999963887035847
20,0.002704966114833951
24,0.00335400877520442
28,0.0028433329425752163
32,0.002601037733256817
36,0.002346056280657649
40,0.0025970309507101774
44,0.00235964497551322
48,0.002326062647625804
52,0.0027655211742967367
56,0.002510836347937584
60,0.002150539308786392
64,0.002608109265565872
80,0.0026561648119241
96,0.0021116018760949373
112,0.002045342931523919
128,0.0021217488683760166
144,0.002276376588270068
160,0.002000065054744482
176,0.002217527013272047
192,0.0025172883179038763
208,0.002077446784824133
224,0.0018686734838411212
240,0.0027146078646183014
256,0.002350327093154192
288,0.0019074497977271676
320,0.003282856661826372
352,0.0023100569378584623
384,0.0023421950172632933
416,0.0024472081568092108
448,0.0023548833560198545
480,0.0023110462352633476
512,0.0023921048268675804
544,0.00284549780189991
576,0.0018166896188631654
608,0.001694382750429213
640,0.001833260408602655
672,0.002229499164968729
704,0.0025317627005279064
736,0.002154923276975751
768,0.0017289570532739162
800,0.002314732177183032
832,0.003057685447856784
864,0.00208898913115263
896,0.001715564401820302
928,0.0017640944570302963
960,0.0017498384695500135
992,0.0016809378284960985
1024,0.0016468821559101343
