Latent,MSE
1,0.0032205674797296524
3,0.022478269413113594
5,0.0034579001367092133
7,0.0030290663708001375
9,0.002848867094144225
11,0.0035747012589126825
13,0.0034402646124362946
15,0.0033167675137519836
16,0.0032930925954133272
20,0.002862654160708189
24,0.0032540378160774708
28,0.003148427465930581
32,0.002916814060881734
36,0.0026897580828517675
40,0.002532407408580184
44,0.0028930101543664932
48,0.0035326224751770496
52,0.003015680704265833
56,0.0029715688433498144
60,0.0028635903727263212
64,0.002564541297033429
80,0.0027704115491360426
96,0.0026518756058067083
112,0.0024182330816984177
128,0.0026560735423117876
144,0.002636995166540146
160,0.0026310007087886333
176,0.0024982700124382973
192,0.0023139433469623327
208,0.0025181444361805916
224,0.002708727028220892
240,0.00266012130305171
256,0.0024593316484242678
288,0.002645245986059308
320,0.0027479627169668674
352,0.002855505095794797
384,0.0020505154971033335
416,0.0023665253538638353
448,0.002869091462343931
480,0.002096696523949504
512,0.0020865201950073242
544,0.0020521683618426323
576,0.0021917095873504877
608,0.002773693995550275
640,0.0023234146647155285
672,0.0021497979760169983
704,0.0025795665569603443
736,0.002883781911805272
768,0.0021130009554326534
800,0.002074655145406723
832,0.0020766390953212976
864,0.002138897543773055
896,0.004638290964066982
928,0.002087169326841831
960,0.0025976840406656265
992,0.0024531600065529346
1024,0.001996380975469947
