Latent,MSE
1,0.02244742214679718
3,0.0034552894067019224
5,0.02249237895011902
7,0.006005052011460066
9,0.0033404312562197447
11,0.0033689674455672503
13,0.022651689127087593
15,0.0030438629910349846
16,0.003765410277992487
20,0.0028478638269007206
24,0.003303520381450653
28,0.0030657777097076178
32,0.0026648142375051975
36,0.002989361761137843
40,0.002753908047452569
44,0.0027436011005192995
48,0.00255649839527905
52,0.002956740790978074
56,0.0031391759403049946
60,0.0027598384767770767
64,0.0026772606652230024
80,0.002388301305472851
96,0.0024277532938867807
112,0.002683475846424699
128,0.0027745540719479322
144,0.002623398322612047
160,0.002715586917474866
176,0.0025634360499680042
192,0.0022860667668282986
208,0.0030312733724713326
224,0.0024638886097818613
240,0.002440440934151411
256,0.0020784451626241207
288,0.00220444705337286
320,0.002466804813593626
352,0.002658609999343753
384,0.0030143032781779766
416,0.002899821847677231
448,0.0026811608113348484
480,0.0027201753109693527
512,0.0026418473571538925
544,0.0026775780133903027
576,0.002104684244841337
608,0.0020570538472384214
640,0.0026763181667774916
672,0.0025140875950455666
704,0.0028528235852718353
736,0.0027791522443294525
768,0.0021465932950377464
800,0.0021401632111519575
832,0.0020265572238713503
864,0.0020127224270254374
896,0.002479773946106434
928,0.002021362539380789
960,0.0021366868168115616
992,0.0027445023879408836
1024,0.0020464628469198942
