Latent,MSE
1,0.0033453647047281265
3,0.0032847337424755096
5,0.0029543100390583277
7,0.0033708871342241764
9,0.0036989294458180666
11,0.019455406814813614
13,0.003426590468734503
15,0.0034349034540355206
16,0.003372017526999116
20,0.0031783052254468203
24,0.0030205806251615286
28,0.003076329827308655
32,0.0024351724423468113
36,0.002528117736801505
40,0.002558574778959155
44,0.0032729508820921183
48,0.0025975035969167948
52,0.002763271564617753
56,0.0023697090800851583
60,0.002360829384997487
64,0.0023947651498019695
80,0.002310784300789237
96,0.002458773087710142
112,0.0024805343709886074
128,0.003356171539053321
144,0.00226235412992537
160,0.0024246678221970797
176,0.0027846796438097954
192,0.0023439007345587015
208,0.0023245157208293676
224,0.0021520862355828285
240,0.0021088849753141403
256,0.0020907551515847445
288,0.0020838272757828236
320,0.0023669064976274967
352,0.002213741885498166
384,0.0022546667605638504
416,0.0017454351764172316
448,0.0024613516870886087
480,0.001855486654676497
512,0.0023226586636155844
544,0.0017645246116444468
576,0.0026336994487792253
608,0.0016938801854848862
640,0.0017051914473995566
672,0.002192266285419464
704,0.0023341337218880653
736,0.0017084639985114336
768,0.0022337017580866814
800,0.002314711455255747
832,0.002116831485182047
864,0.001661248505115509
896,0.002729895059019327
928,0.0017823806265369058
960,0.001766958856023848
992,0.0018267352133989334
1024,0.0016673948848620057
