Latent,MSE
1,0.003126558382064104
3,0.0031803357414901257
5,0.0033900439739227295
7,0.0033305780962109566
9,0.003593939356505871
11,0.0037833405658602715
13,0.0029850821010768414
15,0.0026445367839187384
16,0.0032345661893486977
20,0.002928789472207427
24,0.0029286574572324753
28,0.002847002586349845
32,0.0033446825109422207
36,0.002847910625860095
40,0.0024547004140913486
44,0.0024775597266852856
48,0.0029470340814441442
52,0.002685978077352047
56,0.0024568671360611916
60,0.0022063828073441982
64,0.0024722807575017214
80,0.002307220594957471
96,0.0019689586479216814
112,0.0022079763002693653
128,0.0026796390302479267
144,0.0022881715558469296
160,0.002250388963147998
176,0.002592893084511161
192,0.002413194626569748
208,0.0018611361738294363
224,0.00236743176355958
240,0.0021843723952770233
256,0.002296771854162216
288,0.0023036785423755646
320,0.00230407970957458
352,0.001989625860005617
384,0.00243231444619596
416,0.0018735755002126098
448,0.002709112362936139
480,0.0016686999006196856
512,0.0029120356775820255
544,0.002610588911920786
576,0.0021754526533186436
608,0.0017136011738330126
640,0.0017207324272021651
672,0.0017610619543120265
704,0.002091845963150263
736,0.0016831071116030216
768,0.0017703165067359805
800,0.002619839971885085
832,0.001947384444065392
864,0.0016811443492770195
896,0.0017636121483519673
928,0.001769286929629743
960,0.001762276398949325
992,0.0017009606817737222
1024,0.0018159032333642244
