Latent,MSE
1,0.0034826055634766817
3,0.003320368006825447
5,0.0030195361468940973
7,0.003216962330043316
9,0.0035322082694619894
11,0.0031174414325505495
13,0.0031828535720705986
15,0.0035451697185635567
16,0.0035142384003847837
20,0.023791152983903885
24,0.00300965690985322
28,0.0032577516976743937
32,0.002636738820001483
36,0.0031333088409155607
40,0.0025752095971256495
44,0.0026201484724879265
48,0.0027532773092389107
52,0.0031005339697003365
56,0.00327933463267982
60,0.0027418045792728662
64,0.0032569284085184336
80,0.003001926699653268
96,0.002810583682730794
112,0.002484881551936269
128,0.002420649863779545
144,0.002567525254562497
160,0.0024211923591792583
176,0.0023699288722127676
192,0.0024002494756132364
208,0.0025654127821326256
224,0.002654791111126542
240,0.0020896035712212324
256,0.0028115033637732267
288,0.002312463941052556
320,0.0025751616340130568
352,0.0023598168045282364
384,0.002339919563382864
416,0.0023273928090929985
448,0.0019928161054849625
480,0.002695242641493678
512,0.0023431775625795126
544,0.0023421139921993017
576,0.002067951485514641
608,0.002315133810043335
640,0.002432399895042181
672,0.0022857917938381433
704,0.002029097406193614
736,0.002304232679307461
768,0.0019575529731810093
800,0.0024500410072505474
832,0.0019291635835543275
864,0.0019918738398700953
896,0.0021018642000854015
928,0.0019540635403245687
960,0.0019905308727174997
992,0.0019206852884963155
1024,0.00196069129742682
