Latent,MSE
1,0.00338639784604311
3,0.02296476438641548
5,0.022924331948161125
7,0.003636272856965661
9,0.0033738252241164446
11,0.0037908093072474003
13,0.0033878900576382875
15,0.0030399183742702007
16,0.0033287720289081335
20,0.0030912552028894424
24,0.002978899981826544
28,0.003096977947279811
32,0.0028485956136137247
36,0.003251332323998213
40,0.0031961598433554173
44,0.0027908137999475002
48,0.0026429612189531326
52,0.002643474144861102
56,0.0034042487386614084
60,0.002948513487353921
64,0.003005208680406213
80,0.0025562483351677656
96,0.002523381495848298
112,0.002688557142391801
128,0.002600302454084158
144,0.002525982214137912
160,0.0023914810735732317
176,0.0025355771649628878
192,0.0023560200352221727
208,0.0024422514252364635
224,0.00276897638104856
240,0.002377590863034129
256,0.0033770122099667788
288,0.0027371086180210114
320,0.0028240184765309095
352,0.002977142110466957
384,0.002019081264734268
416,0.0019464596407487988
448,0.0025574956089258194
480,0.002322128275409341
512,0.002323911292478442
544,0.0023466311395168304
576,0.0023562160786241293
608,0.002599216066300869
640,0.001957617700099945
672,0.0024782372638583183
704,0.0030662857461720705
736,0.0022768061608076096
768,0.002024200977757573
800,0.0022477158345282078
832,0.0023285115603357553
864,0.0023882966488599777
896,0.006064492277801037
928,0.0023929260205477476
960,0.002016778104007244
992,0.0024256661999970675
1024,0.0023144648876041174
