Latent,MSE
1,0.0030585371423512697
3,0.003837503958493471
5,0.022547699511051178
7,0.003458288498222828
9,0.0031838344875723124
11,0.004129938315600157
13,0.022473134100437164
15,0.0028868892695754766
16,0.0032161062117666006
20,0.0032999359536916018
24,0.0030096559785306454
28,0.0025749346241354942
32,0.0031715368386358023
36,0.003093561390414834
40,0.0060538980178534985
44,0.002828172640874982
48,0.00287664239294827
52,0.0027976343408226967
56,0.0027710599824786186
60,0.0029857223853468895
64,0.0027115875855088234
80,0.0032669231295585632
96,0.0026812239084392786
112,0.002590776886790991
128,0.002455611014738679
144,0.0026415667962282896
160,0.003290012013167143
176,0.002449646359309554
192,0.0027646429371088743
208,0.002548776101320982
224,0.0025010237004607916
240,0.0028770107310265303
256,0.0025725308805704117
288,0.002395645948126912
320,0.002750551328063011
352,0.0031115140300244093
384,0.002157823881134391
416,0.002619547536596656
448,0.0025846073403954506
480,0.00207856809720397
512,0.0027152590919286013
544,0.002080785809084773
576,0.002569772768765688
608,0.0024824028369039297
640,0.0020601979922503233
672,0.002339317463338375
704,0.0020484209526330233
736,0.002584937959909439
768,0.0032833951991051435
800,0.0021355694625526667
832,0.0026173610240221024
864,0.00243713753297925
896,0.0022736690007150173
928,0.0020199869759380817
960,0.0024141264148056507
992,0.002983765909448266
1024,0.0021634986624121666
